増,"increase, add, augment, gain, promote"
歳,"year-end, age, occasion, opportunity"
記,"scribe, account, narrative"
美,"beauty, beautiful"
差,"distinction, difference, variation, discrepancy, margin, balance"
誰,"who, someone, somebody"
進,"advance, proceed, progress, promote"
確,"assurance, firm, tight, hard, solid, confirm, clear, evident"
許,"permit, approve"
権,"authority, power, rights"
観,"outlook, look, appearance, condition, view"
困,"quandary, become distressed, annoyed"
因,"cause, factor, be associated with, depend on, be limited to"
園,"park, garden, yard, farm"
回,"-times, round, game, revolve, counter for occurrences"
庭,"courtyard, garden, yard"
忘,forget
認,"acknowledge, witness, discern, recognize, appreciate, believe"
想,"concept, think, idea, thought"
息,"breath, respiration, son, interest (on money)"
恐,"fear, dread, awe"
感,"emotion, feeling, sensation"
忙,"busy, occupied, restless"
怖,"dreadful, be frightened, fearful"
必,"invariably, certain, inevitable"
議,"deliberation, consultation, debate, consideration"
抱,"embrace, hug, hold in arms"
打,"strike, hit, knock, pound, dozen"
指,"finger, point to, indicate, put into, play (chess), measure (ruler)"
掛,"hang, suspend, depend, arrive at, tax, pour"
才,"genius, years old, cubic shaku"
存,"exist, suppose, be aware of, believe, feel"
在,"exist, outskirts, suburbs, located in"
吸,"suck, imbibe, inhale, sip"
更,"grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further"
怒,"angry, be offended"
抜,"slip out, extract, pull out, pilfer, quote, remove, omit"
投,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss"
支,"branch, support, sustain, branch radical (no. 65)"
反,anti-
浮,"floating, float, rise to surface"
受,"accept, undergo, answer (phone), take, get, catch, receive"
愛,"love, affection, favourite"
払,"pay, clear out, prune, banish, dispose of"
治,"reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve"
窓,"window, pane"
法,"method, law, rule, principle, model, system"
到,"arrival, proceed, reach, attain, result in"
互,"mutually, reciprocally, together"
育,"bring up, grow up, raise, rear"
流,"current, a sink, flow, forfeit"
込,"crowded, mixture, in bulk, included, (kokuji)"
貧,"poverty, poor"
容,"contain, form, looks"
欲,"longing, covetousness, greed, passion, desire, craving"
常,"usual, ordinary, normal, common, regular, continually, always, long-lasting"
破,"rend, rip, tear, break, destroy, defeat, frustrate"
残,"remainder, leftover, balance"
列,"file, row, rank, tier, column"
耳,ear
取,"take, fetch, take up"
最,"utmost, most, extreme"
恥,"shame, dishonor"
職,"post, employment, work"
置,"placement, put, set, deposit, leave behind, keep, employ, pawn"
夫,"husband, man"
規,"standard, measure"
失,"lose, error, fault, disadvantage, loss"
労,"labor, thank for, reward for, toil, trouble"
努,"toil, diligent, as much as possible"
加,"add, addition, increase, join, include, Canada"
得,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit"
徒,"on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people"
彼,"he, that, the"
役,"duty, war, campaign, drafted labor, office, service, role"
程,"extent, degree, law, formula, distance, limits, amount"
和,"harmony, Japanese style, peace, soften, Japan"
利,"profit, advantage, benefit"
米,"rice, USA, metre"
迷,"astray, be perplexed, in doubt, lost, err, illusion"
数,"number, strength, fate, law, figures"
類,"sort, kind, variety, class, genus"
様,"Esq., way, manner, situation, polite suffix"
求,"request, want, wish for, require, demand"
笑,laugh
箱,"box, chest, case, bin, railway car"
等,"etc., and so forth, class (first), quality, equal, similar"
位,"rank, grade, throne, crown, about, some"
件,"affair, case, matter, item"
他,"other, another, the others"
伝,"transmit, go along, walk along, follow, report, communicate, legend, tradition"
信,"faith, truth, fidelity, trust"
例,"example, custom, usage, precedent"
側,"side, lean, oppose, regret"
値,"price, cost, value"
倒,"overthrow, fall, collapse, drop, break down"
便,"convenience, facility, excrement, feces, letter, chance"
優,"tenderness, excel, surpass, actor, superiority, gentleness"
宿,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
付,"adhere, attach, refer to, append"
任,"responsibility, duty, term, entrust to, appoint"
化,"change, take the form of, influence, enchant, delude, -ization"
内,"inside, within, between, among, house, home"
座,"squat, seat, cushion, gathering, sit"
似,"becoming, resemble, counterfeit, imitate, suitable"
易,"easy, ready to, simple, fortune-telling, divination"
居,"reside, to be, exist, live with"
局,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment"
戻,"re-, return, revert, resume, restore, go backwards"
示,"show, indicate, point out, express, display"
礼,"salute, bow, ceremony, thanks, remuneration"
福,"blessing, fortune, luck, wealth"
察,"guess, presume, surmise, judge, understand"
由,"wherefore, a reason"
押,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
申,"to speak, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac"
神,"gods, mind, soul"
果,"fruit, reward, carry out, achieve, complete, end, finish, succeed"
所,"place, extent"
折,"fold, break, fracture, bend, yield, submit"
断,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting"
昨,"yesterday, previous"
寝,"lie down, sleep, rest, bed, remain unsold"
婦,"lady, woman, wife, bride"
当,"hit, right, appropriate, himself"
争,"contend, dispute, argue"
君,"mister, you, ruler, male name suffix"
両,"both, old Japanese coin, counter for carriages (e.g., in a train), two"
満,"full, fullness, enough, satisfy"
曲,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean"
科,"department, course, section"
備,"equip, provision, preparation"
昔,"once upon a time, antiquity, old times"
散,"scatter, disperse, spend, squander"
席,"seat, mat, occasion, place"
渡,"transit, ford, ferry, cross, import, deliver, diameter, migrate"
判,"judgement, signature, stamp, seal"
勝,"victory, win, prevail, excel"
否,"negate, no, noes, refuse, decline, deny"
杯,"counter for cupfuls, wine glass, glass, toast"
務,"task, duties"
引,"pull, tug, jerk, admit, install, quote, refer to"
号,"nickname, number, item, title, pseudonym, name, call"
与,"bestow, participate in, give, award, impart, provide, cause, gift, godsend"
老,"old man, old age, grow old"
追,"chase, drive away, follow, pursue, meanwhile"
師,"expert, teacher, master, model, exemplar, army (incl. counter), war"
官,"bureaucrat, the government, organ"
交,"mingle, mixing, association, coming & going"
路,"path, route, road, distance"
過,"overdo, exceed, go beyond, error"
際,"occasion, side, edge, verge, dangerous, adventurous, indecent, time, when"
陽,"sunshine, yang principle, positive, male, heaven, daytime"
突,"stab, protruding, thrust, pierce, prick, collision, sudden"
探,"grope, search, look for"
深,"deep, heighten, intensify, strengthen"
緒,"thong, beginning, inception, end, cord, strap, mental or emotional state"
続,"continue, series, sequel"
絵,"picture, drawing, painting, sketch"
給,"salary, wage, gift, allow, grant, bestow on"
経,"sutra, longitude, pass thru, expire, warp"
約,"promise, approximately, shrink"
幾,"how many, how much, how far, how long, some, several"
機,"loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion"
係,"person in charge, connection, duty, concern oneself"
御,"honorable, manipulate, govern"
命,"fate, command, decree, destiny, life, appoint"
冷,"cool, cold (beer, person), chill"
疑,"doubt, distrust, be suspicious, question"
犯,"crime, sin, offense"
危,"dangerous, fear, uneasy"
留,"detain, fasten, halt, stop"
配,"distribute, spouse, exile, rationing"
喜,"rejoice, take pleasure in"
退,"retreat, withdraw, retire, resign, repel, expel, reject"
限,"limit, restrict, to best of ability"
良,"good, pleasing, skilled"
娘,"daughter, girl"
平,"even, flat, peace"
呼,"call, call out to, invite"
殺,"kill, murder, butcher, slice off, split, diminish, reduce, spoil"
辞,"resign, word, term, expression"
幸,"happiness, blessing, fortune"
報,"report, news, reward, retribution"
収,"income, obtain, reap, pay, supply, store"
熱,"heat, temperature, fever, mania, passion"
刻,"engrave, cut fine, chop, hash, mince, time, carving"
術,"art, technique, skill, means, trick, resources, magic"
寒,cold
精,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill"
情,"feelings, emotion, passion, sympathy, circumstances, facts"
晴,clear up
責,"blame, condemn, censure"
積,"volume, product (x*y), acreage, contents, pile up, stack, load, amass"
表,"surface, table, chart, diagram"
害,"harm, injury"
割,"proportion, comparatively, divide, cut, separate, split"
性,"sex, gender, nature"
産,"products, bear, give birth, yield, childbirth, native, property"
実,"reality, truth, seed, fruit, nut"
勤,"diligence, become employed, serve"
乗,"ride, power, multiplication, record, counter for vehicles, board, mount, join"
念,"wish, sense, idea, thought, feeling, desire, attention"
予,"beforehand, previous, myself, I"
要,"need, main point, essence, pivot, key to"
煙,smoke
非,"un-, mistake, negative, injustice, non-"
悲,"grieve, sad, deplore, regret"
罪,"guilt, sin, crime, fault, blame, offense"
決,"decide, fix, agree upon, appoint"
偉,"admirable, greatness, remarkable, conceited, famous, excellent"
余,"too much, myself, surplus, other, remainder"
途,"route, way, road"
束,"bundle, sheaf, ream, tie in bundles, govern, manage, control"
速,"quick, fast"
働,"work, (kokuji)"
種,"species, kind, class, variety, seed"
疲,"exhausted, tire, weary"
痛,"pain, hurt, damage, bruise"
迎,"welcome, meet, greet"
登,"ascend, climb up"
形,"shape, form, style"
顔,"face, expression"
参,"going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in"
対,"vis-a-vis, opposite, even, equal, versus, anti-, compare"
済,"settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not"
薬,"medicine, chemical, enamel, gunpowder, benefit"
変,"unusual, change, strange"
横,"sideways, side, horizontal, width, woof, unreasonable, perverse"
絶,"discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled"
期,"period, time, date, term"
舞,"dance, flit, circle, wheel"
無,"nothingness, none, ain't, nothing, nil, not"
組,"association, braid, plait, construct, assemble, unite, cooperate, grapple"
助,"help, rescue, assist"
共,"together, both, neither, all, and, alike, with"
供,"submit, offer, present, serve (meal), accompany"
選,"elect, select, choose, prefer"
解,"unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute"
構,"posture, build, pretend"
論,"argument, discourse"
婚,marriage
民,"people, nation, subjects"
眠,"sleep, die, sleepy"
捕,"catch, capture"
都,"metropolis, capital, all, everything"
段,"grade, steps, stairs"
船,"ship, boat"
妻,"wife, spouse"
声,voice
番,"turn, number in a series"
宅,"home, house, residence, our house, my husband"
髪,hair of the head
単,"simple, one, single, merely"
戦,"war, battle, match"
晩,"nightfall, night"
馬,horse
能,"ability, talent, skill, capacity"
演,"performance, act, play, render, stage"
鳴,"chirp, cry, bark, sound, ring, echo, honk"
飛,"fly, skip (pages), scatter"
頼,"trust, request"
頭,"head, counter for large animals"
頁,"page, leaf"
面,"mask, face, features, surface"
静,quiet
雪,snow
難,"difficult, impossible, trouble, accident, defect"
雑,miscellaneous
降,"descend, precipitate, fall, surrender"
関,"connection, barrier, gateway, involve, concerning"
閉,"closed, shut"
酒,"sake, alcohol"
部,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine"
遠,"distant, far"
違,"difference, differ"
達,"accomplished, reach, arrive, attain"
遊,play
遅,"slow, late, back, later"
返,"return, answer, fade, repay"
険,"inaccessible, sharp eyes"
港,harbor
泳,swim
祖,"grandparent, ancestor, pioneer, founder"
盗,"steal, rob, pilfer"
慣,"accustomed, get used to, become experienced"
歯,"tooth, cog"
偶,"accidentally, even number, couple, man & wife, same kind"
球,"ball, sphere"
財,"property, money, wealth, assets"
候,"climate, season, weather, wait for, expect"
費,"expense, cost, spend, consume, waste"
賛,"approve, praise, title or inscription on picture, assist, agree with"
誤,"mistake, err, do wrong, mislead"
招,"beckon, invite, summon, engage"
除,"exclude, division (x/3), remove, abolish, cancel, except"
